run_id,config_name,dataset,model,seq_len,embed_dim,hidden_dim,dropout,lr,num_heads,num_layers,epochs,batch_size,seed,device,train_windows,val_windows,test_windows,train_anomalies,val_anomalies,test_anomalies,vocab_size,runtime_seconds,loss,next_event_accuracy,precision,recall,f1,auc,threshold
8,long_context_small_model,openstack2k,rnn,15,32,64,0.1,0.001,4,1,3,128,42,mps,1191,397,397,0,31,31,44,0.3411502920062048,2.6862661838531494,0.3828715365239294,0.3170731707317073,0.8387096774193549,0.4601769911504424,0.8987308302485457,4.070453186035157
8,long_context_small_model,openstack2k,lstm,15,32,64,0.1,0.001,4,1,3,128,42,mps,1191,397,397,0,31,31,44,0.190423499996541,2.798027992248535,0.3551637279596977,0.2962962962962963,0.5161290322580645,0.3764705882352941,0.8474352194606029,4.588135929107666
8,long_context_small_model,openstack2k,transformer,15,32,64,0.1,0.001,4,1,3,128,42,mps,1191,397,397,0,31,31,44,0.2832266250043176,2.8640432357788086,0.4030226700251889,0.218978102189781,0.967741935483871,0.3571428571428571,0.8648863035430989,3.48794059753418
9,medium_context_larger_model,openstack2k,rnn,10,64,128,0.1,0.001,4,1,3,128,42,mps,1194,398,398,0,31,31,44,0.2933422500063898,2.0997462272644043,0.5552763819095478,0.3703703703703703,0.967741935483871,0.5357142857142857,0.9428232398699128,3.6049385092956854
9,medium_context_larger_model,openstack2k,transformer,10,64,128,0.1,0.001,4,1,3,128,42,mps,1194,398,398,0,31,31,44,0.2882324579986743,2.3198530673980713,0.4824120603015075,0.4038461538461538,0.6774193548387096,0.5060240963855421,0.9085435527819284,4.398449059110701
9,medium_context_larger_model,openstack2k,lstm,10,64,128,0.1,0.001,4,1,3,128,42,mps,1194,398,398,0,31,31,44,0.1864177920069778,2.5066542625427246,0.3969849246231156,0.5789473684210527,0.3548387096774194,0.44,0.9216401511822097,4.9868058106393525
10,medium_context_deeper_transformer,openstack2k,rnn,10,64,128,0.1,0.001,4,2,3,128,42,mps,1194,398,398,0,31,31,44,0.2086612499988405,2.0997462272644043,0.5552763819095478,0.3703703703703703,0.967741935483871,0.5357142857142857,0.9428232398699128,3.604938587227253
10,medium_context_deeper_transformer,openstack2k,transformer,10,64,128,0.1,0.001,4,2,3,128,42,mps,1194,398,398,0,31,31,44,0.2664841250079917,2.1489195823669434,0.4974874371859296,0.4,0.7096774193548387,0.5116279069767442,0.9299903313703084,4.204047238465512
10,medium_context_deeper_transformer,openstack2k,lstm,10,64,128,0.1,0.001,4,2,3,128,42,mps,1194,398,398,0,31,31,44,0.1720571659971028,2.5066542625427246,0.3969849246231156,0.5789473684210527,0.3548387096774194,0.44,0.9216401511822097,4.9868058106393525
11,short_context_small_model,hdfs,lstm,5,32,64,0.1,0.001,4,1,3,128,42,mps,1155,399,399,0,14,14,14,0.1576020420034183,1.9661418199539185,0.3609022556390977,0.2727272727272727,0.2142857142857142,0.24,0.5546382189239333,2.6908419565720996
11,short_context_small_model,hdfs,transformer,5,32,64,0.1,0.001,4,1,3,128,42,mps,1155,399,399,0,14,14,14,0.2745999999897321,1.9716876745224,0.3283208020050125,0.15,0.2142857142857142,0.1764705882352941,0.5598330241187384,3.1003820354769926
11,short_context_small_model,hdfs,rnn,5,32,64,0.1,0.001,4,1,3,128,42,mps,1155,399,399,0,14,14,14,0.3096479170053499,1.7102391719818115,0.3734335839598997,0.0,0.0,0.0,0.578200371057514,3.647455945833763
12,medium_context_small_model,hdfs,rnn,10,32,64,0.1,0.001,4,1,3,128,42,mps,1152,398,398,0,14,14,14,0.2079844590043649,1.7093703746795654,0.3869346733668342,0.25,0.2857142857142857,0.2666666666666666,0.5439918154761905,3.2623689256533237
12,medium_context_small_model,hdfs,lstm,10,32,64,0.1,0.001,4,1,3,128,42,mps,1152,398,398,0,14,14,14,0.1453562500100815,1.8889260292053225,0.3944723618090452,0.1290322580645161,0.2857142857142857,0.1777777777777777,0.5509672619047619,2.667900309562683
12,medium_context_small_model,hdfs,transformer,10,32,64,0.1,0.001,4,1,3,128,42,mps,1152,398,398,0,14,14,14,0.2107456670055398,1.9010891914367676,0.3442211055276382,0.1,0.0714285714285714,0.0833333333333333,0.5210193452380952,3.1171624405215494
13,long_context_small_model,hdfs,rnn,15,32,64,0.1,0.001,4,1,3,128,42,mps,1149,397,397,0,14,14,14,0.3621305830019992,1.8000249862670898,0.3576826196473551,0.1428571428571428,0.0714285714285714,0.0952380952380952,0.5027974636329727,3.932068881988529
13,long_context_small_model,hdfs,lstm,15,32,64,0.1,0.001,4,1,3,128,42,mps,1149,397,397,0,14,14,14,0.178266083006747,1.987690567970276,0.327455919395466,0.0256410256410256,0.2857142857142857,0.0470588235294117,0.453935098843715,2.292223281860352
13,long_context_small_model,hdfs,transformer,15,32,64,0.1,0.001,4,1,3,128,42,mps,1149,397,397,0,14,14,14,0.288162500000908,1.9632309675216677,0.3324937027707808,0.0,0.0,0.0,0.5398172323759791,3.1123944664001435
14,medium_context_larger_model,hdfs,transformer,10,64,128,0.1,0.001,4,1,3,128,42,mps,1152,398,398,0,14,14,14,0.2270428330084541,1.479851007461548,0.4422110552763819,0.1428571428571428,0.2142857142857142,0.1714285714285714,0.5596168154761905,3.112949296561152
14,medium_context_larger_model,hdfs,lstm,10,64,128,0.1,0.001,4,1,3,128,42,mps,1152,398,398,0,14,14,14,0.1531597080029314,1.4864182472229004,0.4246231155778894,0.125,0.1428571428571428,0.1333333333333333,0.5756138392857142,3.964556896349396
14,medium_context_larger_model,hdfs,rnn,10,64,128,0.1,0.001,4,1,3,128,42,mps,1152,398,398,0,14,14,14,0.2214358750061364,1.4662048816680908,0.371859296482412,0.1,0.0714285714285714,0.0833333333333333,0.5538504464285714,4.7300829920624246
15,medium_context_deeper_transformer,hdfs,transformer,10,64,128,0.1,0.001,4,2,3,128,42,mps,1152,398,398,0,14,14,14,0.2772719589993357,1.434895396232605,0.4346733668341708,0.1363636363636363,0.2142857142857142,0.1666666666666666,0.5731956845238095,3.367134386842901
15,medium_context_deeper_transformer,hdfs,lstm,10,64,128,0.1,0.001,4,2,3,128,42,mps,1152,398,398,0,14,14,14,0.1546372080047149,1.4864181280136108,0.4246231155778894,0.125,0.1428571428571428,0.1333333333333333,0.5756138392857142,3.964556896349396
15,medium_context_deeper_transformer,hdfs,rnn,10,64,128,0.1,0.001,4,2,3,128,42,mps,1152,398,398,0,14,14,14,0.2082458749937359,1.4662048816680908,0.371859296482412,0.1,0.0714285714285714,0.0833333333333333,0.5538504464285714,4.730082515225266
1,short_context_small_model,GAIA no-status,transformer,5,32,64,0.1,0.001,4,1,2,128,42,cpu,11090,3999,3999,0,302,302,7,0.6531857920053881,1.2614445686340332,0.4148537134283571,0.1160493827160493,0.3112582781456953,0.1690647482014388,0.5630254170644894,1.6665459871292114
1,short_context_small_model,GAIA no-status,lstm,5,32,64,0.1,0.001,4,1,2,128,42,cpu,11090,3999,3999,0,302,302,7,0.6463639169814996,1.261707067489624,0.404351087771943,0.1120092378752886,0.3211920529801324,0.1660958904109589,0.5718982815850331,1.6219609786043263
1,short_context_small_model,GAIA no-status,rnn,5,32,64,0.1,0.001,4,1,2,128,42,cpu,11090,3999,3999,0,302,302,7,0.9176425409968942,1.2620491981506348,0.4051012753188297,0.1097826086956521,0.3344370860927152,0.1653027823240589,0.5728127513448349,1.4563838344150135
2,medium_context_small_model,GAIA no-status,transformer,10,32,64,0.1,0.001,4,1,2,128,42,cpu,11090,3998,3998,0,302,301,7,1.4904157079872675,1.265741229057312,0.4122061030515258,0.1278195488721804,0.3388704318936877,0.1856232939035486,0.5727486684453678,1.7271789921654603
